time,sfe,ssip,rfip,type
"11/23/2024, 02:35:47",-90,-10,1.0,0
"11/23/2024, 02:35:50",-90,-10,1.0,0
"11/23/2024, 02:35:53",-90,-10,1.0,0
"11/23/2024, 02:35:56",-90,-10,1.0,0
"11/23/2024, 02:35:59",-90,-10,1.0,0
"11/23/2024, 02:36:02",-90,-10,1.0,0
"11/23/2024, 02:36:05",-90,-10,1.0,0
"11/23/2024, 02:36:08",-90,-10,1.0,0
"11/23/2024, 02:36:11",-90,-10,1.0,0
"11/23/2024, 02:36:14",-90,-10,1.0,0
"11/23/2024, 02:36:17",-90,-10,1.0,0
"11/23/2024, 02:36:20",-90,-10,1.0,0
"11/23/2024, 02:36:23",-90,-10,1.0,0
"11/23/2024, 02:36:26",-90,-10,1.0,0
"11/23/2024, 02:36:29",0,0,1.0,0
"11/23/2024, 02:36:32",-90,-10,1.0,0
"11/23/2024, 02:36:35",-90,-10,1.0,0
"11/23/2024, 02:36:38",-90,-10,1.0,0
time,sfe,ssip,rfip,type
"11/23/2024, 02:37:30",-90,-10,1.0,1
"11/23/2024, 02:37:33",-90,-10,1.0,1
"11/23/2024, 02:37:36",-90,-10,1.0,1
"11/23/2024, 02:37:39",0,0,1.0,1
"11/23/2024, 02:37:44",-90,-10,1.0,1
"11/23/2024, 02:37:46",-90,-10,1.0,1
"11/23/2024, 02:37:48",-90,-10,1.0,1
"11/23/2024, 02:37:52",0,0,1.0,1
"11/23/2024, 02:37:55",-90,-10,1.0,1
"11/23/2024, 02:37:58",0,0,1.0,1
"11/23/2024, 02:38:01",-90,-10,1.0,1
"11/23/2024, 02:38:03",-90,-10,1.0,1
"11/23/2024, 02:38:06",-94,-14,1.0,1
"11/23/2024, 02:38:09",-131,-51,1.0,1
"11/23/2024, 02:38:12",-167,-87,1.0,1
"11/23/2024, 02:38:15",-204,-124,1.0,1
"11/23/2024, 02:38:18",-240,-160,1.0,1
"11/23/2024, 02:38:21",-277,-197,1.0,1
"11/23/2024, 02:38:24",-314,-234,1.0,1
"11/23/2024, 02:38:27",-350,-270,1.0,1
"11/23/2024, 02:38:30",-387,-307,1.0,1
"11/23/2024, 02:38:33",-424,-344,1.0,1
"11/23/2024, 02:38:36",-460,-380,1.0,1
"11/23/2024, 02:38:39",-497,-417,1.0,1
"11/23/2024, 02:38:43",-533,-453,1.0,1
"11/23/2024, 02:38:45",-570,-490,1.0,1
"11/23/2024, 02:38:48",-607,-527,1.0,1
"11/23/2024, 02:38:51",-643,-563,1.0,1
"11/23/2024, 02:38:54",-680,-600,1.0,1
"11/23/2024, 02:38:58",-716,-636,1.0,1
"11/23/2024, 02:39:00",-753,-673,1.0,1
"11/23/2024, 02:39:03",-790,-710,1.0,1
"11/23/2024, 02:39:06",-826,-746,1.0,1
